symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-05-30 00:00:00+00:00,153.67,154.43,153.33,153.42,20034934,36.415119937,36.5952168405,36.3345502697,36.3558775346,80139736,0.0,1.0
AAPL,2017-05-31 00:00:00+00:00,152.76,154.17,152.38,153.97,23162873,36.1994775921,36.5336047419,36.1094291404,36.48621082,92651492,0.0,1.0
AAPL,2017-06-01 00:00:00+00:00,153.18,153.33,152.22,153.17,16180143,36.2990048282,36.3345502697,36.0715140028,36.2966351321,64720572,0.0,1.0
AAPL,2017-06-02 00:00:00+00:00,155.45,155.45,152.89,153.58,27285861,36.8369258425,36.8369258425,36.2302836414,36.3937926722,109143444,0.0,1.0
AAPL,2017-06-05 00:00:00+00:00,153.93,154.45,153.46,154.34,24803858,36.4767320356,36.5999562327,36.365356319,36.5738895756,99215432,0.0,1.0
AAPL,2017-06-06 00:00:00+00:00,154.45,155.81,153.78,153.9,26249630,36.5999562327,36.922234902,36.4411865941,36.4696229473,104998520,0.0,1.0
AAPL,2017-06-07 00:00:00+00:00,155.37,155.98,154.48,155.02,20678772,36.8179682737,36.9625197357,36.607065321,36.7350289103,82715088,0.0,1.0
AAPL,2017-06-08 00:00:00+00:00,154.99,155.54,154.4,155.25,20771367,36.727919822,36.8582531074,36.5881077522,36.7895319205,83085468,0.0,1.0
AAPL,2017-06-09 00:00:00+00:00,148.98,155.19,146.02,155.19,64882700,35.3037324671,36.7753137439,34.6023024221,36.7753137439,259530800,0.0,1.0
AAPL,2017-06-12 00:00:00+00:00,145.42,146.09,142.51,145.74,71563614,34.4601206562,34.6188902948,33.7705390917,34.5359509314,286254456,0.0,1.0
AAPL,2017-06-13 00:00:00+00:00,146.59,147.45,145.15,147.16,33749154,34.7373750997,34.9411689641,34.3961388616,34.8724477773,134996616,0.0,1.0
AAPL,2017-06-14 00:00:00+00:00,145.16,147.5,143.84,147.5,31224203,34.3985085577,34.9530174446,34.0857086728,34.9530174446,124896812,0.0,1.0
AAPL,2017-06-15 00:00:00+00:00,144.29,144.4798,142.21,143.32,31348832,34.1923449972,34.2373218291,33.6994482088,33.9624844757,125395328,0.0,1.0
AAPL,2017-06-16 00:00:00+00:00,142.27,144.5,142.2,143.78,49180748,33.7136663854,34.2421086152,33.6970785127,34.0714904962,196722992,0.0,1.0
AAPL,2017-06-19 00:00:00+00:00,146.34,146.74,143.66,143.66,31449132,34.6781326973,34.7729205412,34.043054143,34.043054143,125796528,0.0,1.0
AAPL,2017-06-20 00:00:00+00:00,145.01,146.87,144.94,146.87,24572170,34.3629631162,34.8037265904,34.3463752435,34.8037265904,98288680,0.0,1.0
AAPL,2017-06-21 00:00:00+00:00,145.87,146.0693,144.61,145.52,21064679,34.5667569807,34.6139850239,34.2681752723,34.4838176172,84258716,0.0,1.0
AAPL,2017-06-22 00:00:00+00:00,145.63,146.7,145.1199,145.77,18673365,34.5098842743,34.7634417568,34.3890060763,34.5430600197,74693460,0.0,1.0
AAPL,2017-06-23 00:00:00+00:00,146.28,147.16,145.11,145.13,25997976,34.6639145207,34.8724477773,34.3866600772,34.3913994694,103991904,0.0,1.0
AAPL,2017-06-26 00:00:00+00:00,145.82,148.28,145.38,147.17,25524661,34.5549085002,35.1378537403,34.4506418719,34.8748174734,102098644,0.0,1.0
AAPL,2017-06-27 00:00:00+00:00,143.73,146.16,143.62,145.01,24423643,34.0596420157,34.6354781675,34.0335753586,34.3629631162,97694572,0.0,1.0
AAPL,2017-06-28 00:00:00+00:00,145.83,146.11,143.1601,144.49,21915939,34.5572781963,34.623629687,33.9245930351,34.2397389191,87663756,0.0,1.0
AAPL,2017-06-29 00:00:00+00:00,143.68,145.13,142.28,144.71,31116980,34.0477935352,34.3913994694,33.7160360815,34.2918722333,124467920,0.0,1.0
AAPL,2017-06-30 00:00:00+00:00,144.02,144.96,143.78,144.45,22328979,34.1283632025,34.3511146357,34.0714904962,34.2302601347,89315916,0.0,1.0
AAPL,2017-07-03 00:00:00+00:00,143.5,145.3,143.1,144.88,14258300,34.0051390054,34.4316843031,33.9103511615,34.332157067,57033200,0.0,1.0
AAPL,2017-07-05 00:00:00+00:00,144.09,144.79,142.7237,143.69,20758795,34.1449510752,34.3108298021,33.8211794974,34.0501632313,83035180,0.0,1.0
AAPL,2017-07-06 00:00:00+00:00,142.73,143.5,142.41,143.02,23374374,33.8226724059,34.0051390054,33.7468421308,33.8913935927,93497496,0.0,1.0
AAPL,2017-07-07 00:00:00+00:00,144.18,144.75,142.9,142.9,18505351,34.1662783401,34.3013510177,33.8629572396,33.8629572396,74021404,0.0,1.0
AAPL,2017-07-10 00:00:00+00:00,145.06,145.95,143.37,144.11,21030466,34.3748115967,34.5857145494,33.9743329562,34.1496904674,84121864,0.0,1.0
AAPL,2017-07-11 00:00:00+00:00,145.53,145.85,144.38,144.73,18311156,34.4861873133,34.5620175885,34.2136722621,34.2966116255,73244624,0.0,1.0
AAPL,2017-07-12 00:00:00+00:00,145.74,146.18,144.82,145.87,23617964,34.5359509314,34.6402175597,34.3179388904,34.5667569807,94471856,0.0,1.0
AAPL,2017-07-13 00:00:00+00:00,147.77,148.49,145.44,145.5,24922788,35.0169992393,35.1876173583,34.4648600484,34.479078225,99691152,0.0,1.0
AAPL,2017-07-14 00:00:00+00:00,149.04,149.33,147.33,147.97,19961788,35.3179506437,35.3866718305,34.9127326109,35.0643931612,79847152,0.0,1.0
AAPL,2017-07-17 00:00:00+00:00,149.56,150.9,148.57,148.82,23243713,35.4411748408,35.7587141179,35.2065749271,35.2658173295,92974852,0.0,1.0
AAPL,2017-07-18 00:00:00+00:00,150.08,150.13,148.67,149.2,17713795,35.5643990379,35.5762475184,35.2302718881,35.3558657813,70855180,0.0,1.0
AAPL,2017-07-19 00:00:00+00:00,151.02,151.42,149.95,150.48,20615419,35.7871504711,35.881938315,35.5335929886,35.6591868818,82461676,0.0,1.0
AAPL,2017-07-20 00:00:00+00:00,150.34,151.74,150.19,151.5,17053326,35.6260111364,35.9577685901,35.590465695,35.9008958838,68213304,0.0,1.0
AAPL,2017-07-21 00:00:00+00:00,150.27,150.44,148.88,149.99,24671002,35.6094232637,35.6497080974,35.2800355061,35.543071773,98684008,0.0,1.0
AAPL,2017-07-24 00:00:00+00:00,152.09,152.44,149.9,150.58,21122730,36.0407079536,36.123647317,35.5217445081,35.6828838428,84490920,0.0,1.0
AAPL,2017-07-25 00:00:00+00:00,152.74,153.84,151.8,151.8,18612649,36.1947381999,36.4554047707,35.9719867667,35.9719867667,74450596,0.0,1.0
AAPL,2017-07-26 00:00:00+00:00,153.46,153.93,153.06,153.35,15172136,36.365356319,36.4767320356,36.2705684751,36.3392896619,60688544,0.0,1.0
AAPL,2017-07-27 00:00:00+00:00,150.56,153.99,147.3,153.75,32175875,35.6781444506,36.4909502122,34.9056235227,36.4340775058,128703500,0.0,1.0
AAPL,2017-07-28 00:00:00+00:00,149.5,150.23,149.19,149.89,16832947,35.4269566642,35.5999444794,35.3534960852,35.519374812,67331788,0.0,1.0
AAPL,2017-07-31 00:00:00+00:00,148.73,150.33,148.13,149.9,19422655,35.2444900647,35.6236414403,35.1023082988,35.5217445081,77690620,0.0,1.0
AAPL,2017-08-01 00:00:00+00:00,150.05,150.22,148.41,149.1,24725526,35.5572899496,35.5975747833,35.1686597895,35.3321688203,98902104,0.0,1.0
AAPL,2017-08-02 00:00:00+00:00,157.14,159.75,156.16,159.28,69222793,37.237404483,37.8558951646,37.0051742654,37.744519448,276891172,0.0,1.0
AAPL,2017-08-03 00:00:00+00:00,155.57,157.21,155.02,157.05,26000738,36.8653621957,37.2539923557,36.7350289103,37.2160772181,104002952,0.0,1.0
AAPL,2017-08-04 00:00:00+00:00,156.39,157.4,155.69,156.07,20349532,37.0596772757,37.2990165816,36.8937985488,36.9838470005,81398128,0.0,1.0
AAPL,2017-08-07 00:00:00+00:00,158.81,158.92,156.6701,157.06,21870321,37.6331437314,37.6592103885,37.1260524634,37.2184469142,87481284,0.0,1.0
AAPL,2017-08-08 00:00:00+00:00,160.08,161.83,158.27,158.6,35775675,37.9340951358,38.348791953,37.5051801421,37.5833801133,143102700,0.0,1.0
AAPL,2017-08-09 00:00:00+00:00,161.059998,161.27,159.11,159.26,25640394,38.1663248795,38.2160889715,37.7042346143,37.7397800558,102561576,0.0,1.0
AAPL,2017-08-10 00:00:00+00:00,155.32,160.0,154.63,159.9,39081017,36.9554106474,38.068926755,36.7912384007,38.0451336757,156324068,0.63,1.0
AAPL,2017-08-11 00:00:00+00:00,157.48,158.5728,156.07,156.6,25943187,37.4693411586,37.7293519283,37.1338587415,37.2599620614,103772748,0.0,1.0
AAPL,2017-08-14 00:00:00+00:00,159.85,160.21,158.75,159.32,21754810,38.0332371361,38.1188922213,37.7715132647,37.9071338162,87019240,0.0,1.0
AAPL,2017-08-15 00:00:00+00:00,161.6,162.195,160.14,160.66,27936774,38.4496160225,38.5911848439,38.1022370659,38.2259610778,111747096,0.0,1.0
AAPL,2017-08-16 00:00:00+00:00,160.95,162.51,160.15,161.94,27321761,38.2949610076,38.6661330434,38.1046163738,38.5305124919,109287044,0.0,1.0
AAPL,2017-08-17 00:00:00+00:00,157.86,160.71,157.84,160.52,26925694,37.5597548596,38.2378576174,37.5549962438,38.1926507669,107702776,0.0,1.0
AAPL,2017-08-18 00:00:00+00:00,157.5,159.5,156.72,157.86,27012525,37.4740997744,37.9499613588,37.2885137565,37.5597548596,108050100,0.0,1.0
AAPL,2017-08-21 00:00:00+00:00,157.21,157.89,155.1101,157.5,26145653,37.4050998447,37.5668927834,36.9054689741,37.4740997744,104582612,0.0,1.0
AAPL,2017-08-22 00:00:00+00:00,159.78,160.0,158.02,158.23,21297812,38.0165819807,38.068926755,37.5978237864,37.6477892527,85191248,0.0,1.0
AAPL,2017-08-23 00:00:00+00:00,159.98,160.47,158.88,159.07,19198189,38.0641681391,38.1807542273,37.8024442677,37.8476511182,76792756,0.0,1.0
AAPL,2017-08-24 00:00:00+00:00,159.27,160.74,158.55,160.43,19029621,37.8952372766,38.2449955412,37.7239271062,38.1712369956,76118484,0.0,1.0
AAPL,2017-08-25 00:00:00+00:00,159.86,160.56,159.27,159.65,25015218,38.035616444,38.2021679986,37.8952372766,37.9856509777,100060872,0.0,1.0
AAPL,2017-08-28 00:00:00+00:00,161.47,162.0,159.93,160.14,25279674,38.4186850195,38.5447883394,38.0522715995,38.1022370659,101118696,0.0,1.0
AAPL,2017-08-29 00:00:00+00:00,162.91,163.12,160.0,160.1,29307862,38.7613053603,38.8112708267,38.068926755,38.0927198342,117231448,0.0,1.0
AAPL,2017-08-30 00:00:00+00:00,163.35,163.89,162.61,163.8,26973946,38.8659949089,38.9944775367,38.6899261226,38.9730637654,107895784,0.0,1.0
AAPL,2017-08-31 00:00:00+00:00,164.0,164.52,163.48,163.64,26412439,39.0206499238,39.1443739358,38.8969259119,38.9349948386,105649756,0.0,1.0
AAPL,2017-09-01 00:00:00+00:00,164.05,164.94,163.63,164.8,16508568,39.0325464634,39.2443048685,38.9326155307,39.2109945576,66034272,0.0,1.0
AAPL,2017-09-05 00:00:00+00:00,162.08,164.25,160.56,163.75,29317054,38.5638228028,39.0801326219,38.2021679986,38.9611672258,117268216,0.0,1.0
AAPL,2017-09-06 00:00:00+00:00,161.91,162.99,160.52,162.71,21179047,38.5233745681,38.7803398237,38.1926507669,38.7137192019,84716188,0.0,1.0
AAPL,2017-09-07 00:00:00+00:00,161.26,162.24,160.36,162.09,21722995,38.3687195532,38.6018917295,38.1545818402,38.5662021107,86891980,0.0,1.0
AAPL,2017-09-08 00:00:00+00:00,158.63,161.15,158.53,160.86,28183159,37.7429615696,38.342547166,37.7191684904,38.2735472363,112732636,0.0,1.0
AAPL,2017-09-11 00:00:00+00:00,161.5,162.05,159.89,160.5,31028926,38.4258229433,38.556684879,38.0427543678,38.1878921511,124115704,0.0,1.0
AAPL,2017-09-12 00:00:00+00:00,160.86,163.96,158.77,162.61,71139119,38.2735472363,39.0111326921,37.7762718805,38.6899261226,284556476,0.0,1.0
AAPL,2017-09-13 00:00:00+00:00,159.65,159.96,157.91,159.87,44393752,37.9856509777,38.0594095233,37.5716513992,38.037995752,177575008,0.0,1.0
